epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.235,0.66401,14.0408,1.20597,0.00212,1,0.14668,0.1144,0.75875,5.9196,1.36702,0.000276646,0.000276646,0.000276646
2,922.538,0.5859,12.8241,1.07988,0.00178,1,0.18622,0.12834,1.04719,5.82287,1.71012,0.000499436,0.000499436,0.000499436
3,1392.61,0.63651,11.0544,1.15556,0.0016,1,0.16674,0.1081,1.03383,5.83812,1.78751,0.000667247,0.000667247,0.000667247
4,1863.51,0.59033,10.0708,1.06864,0.89056,0.125,0.23785,0.2017,0.7307,4.59081,1.398,0.000585599,0.000585599,0.000585599
5,2340.13,0.55529,9.29496,0.9912,0.62141,0.19933,0.30889,0.24783,0.70624,4.33863,1.35308,0.000503132,0.000503132,0.000503132
6,2811.95,0.55194,7.98624,1.05129,0.95198,0.08333,0.32105,0.26465,0.68239,4.09382,1.31267,0.000420665,0.000420665,0.000420665
7,3284.78,0.55439,7.20895,1.05117,0.62708,0.30556,0.26506,0.22691,0.74968,3.76327,1.40827,0.000338198,0.000338198,0.000338198
8,3756.13,0.49003,6.73916,0.9454,0.26733,0.43611,0.31043,0.2564,0.70578,3.62168,1.28695,0.000255731,0.000255731,0.000255731
9,4223.91,0.43468,6.55759,0.87557,0.42747,0.45833,0.31004,0.26736,0.64087,3.62964,1.25733,0.000173264,0.000173264,0.000173264
10,4680.04,0.44913,6.01878,0.90021,0.61518,0.20833,0.37545,0.32283,0.6729,3.48993,1.2825,9.0797e-05,9.0797e-05,9.0797e-05
